Title,Genres,Imdb Score,tags
Bodyguard,"['comedy', 'action', 'adventure', 'drama']",4.5/10,"Irked by her bodyguard, an heiress invents a secret admirer to throw him off his duties, but the plan may backfire when she falls for him. comedy action adventure drama SalmanKhan KareenaKapoor RajBabbar Asrani VidyaSinha HazelKeech ChetanHansraj SalimBaig"
Bombay Talkies,['drama'],6.5/10,"A gay man deals with his sexuality, a struggling actor has an epiphany, a boy becomes a dancer, and a man tries to fulfill his father's dying wish. drama RaniMukerji RandeepHooda SaqibSaleem NawazuddinSiddiqui SadashivAmrapurkar AmitabhBachchan RanvirShorey KatrinaKaif DianaPenty"
Boss,"['comedy', 'action', 'adventure', 'drama']",5.3/10,"Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help. comedy action adventure drama AkshayKumar RonitRoy ShivPandit MithunChakraborty JohnyLever AditiRaoHydari DannyDenzongpa GovindNamdeo ParikshatSahni AakashDabhade"
Boys Over Flowers,"['romance', 'drama']",7.8/10,Unassuming high school girl Jan-di stands up to â€“ and eventually falls for â€“ a spoiled rich kid who belongs to the school's most powerful clique. romance drama KuHye-sun LeeMin-ho KimHyun-joong KimBum KimJoon KimSo-eun LeeHye-yeong ParkJi-bin LimYe-jin JeongHo-bin
Break Ke Baad,"['musical', 'comedy', 'drama']",5.0/10,Childhood friends Abhay and Aaliya experience plenty of obstacles in their paths as they find their way in the world and back to each other. musical comedy drama ImranKhan DeepikaPadukone ShahanaGoswami LilleteDubey SharmilaTagore NavinNischol ParzanDastur NeeluKohli ZiyahVastani YudhishtirUrs GradyMcGahan
Breaking Bad,"['crime', 'thriller', 'drama']",9.4/10,A high school chemistry teacher dying of cancer teams with a former student to secure his family's future by manufacturing and selling crystal meth. crime thriller drama BryanCranston AaronPaul AnnaGunn DeanNorris BetsyBrandt R.J.Mitte BobOdenkirk StevenMichaelQuezada JonathanBanks GiancarloEsposito
Breaking Boundaries: The Science Of Our Planet,['documentary'],7.7/10,David Attenborough and scientist Johan RockstrÃ¶m examine Earth's biodiversity collapse and how this crisis can still be averted. documentary DavidAttenborough JohanRockstrÃ¶m
Breaking the Bank,"['comedy', 'drama']",5.1/10,Bank chairman Charles Bunbury â€“ who knows next to nothing about banking â€“ fights to save both his company and his marriage from disaster. comedy drama KelseyGrammer TamsinGreig JohnMichaelHiggins MathewHorne PearceQuigley TogoIgawa SonyaCassidy JulieDray DannyMorgan AndrewSachs
"Bring It On, Ghost","['romance', 'drama']",7.8/10,A college student with psychic abilities takes in an amnesiac ghost as his roommate â€“ who ends up helping him hunt down spooky spirits. romance drama Taecyeon KimSo-hyun KwonYul KimSang-ho KangKi-young LeeDa-wit KimMin-sang YunSeo-hyun
Brothers,"['action', 'adventure', 'drama']",6.3/10,"After a troubled past with their alcoholic father, two estranged brothers prepare to face each other again as rivals in a street fighting tournament. action adventure drama AkshayKumar SidharthMalhotra JackieShroff JacquelineFernandez ShefaliShah KulbhushanKharbanda RajendranathZutshi AshutoshRana"
Bride of Chucky,"['comedy', 'horror', 'drama']",5.5/10,"After Chucky is revived by a former lover, he transfers her spirit into a doll and enlists her help in a scheme to become human again. comedy horror drama JenniferTilly BradDourif KatherineHeigl NickStabile AlexisArquette GordonMichaelWoolvett JohnRitter LawrenceDane MichaelJohnson JamesGallanders"
Bulbbul,"['horror', 'drama']",6.7/10,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village. horror drama TriptiDimri AvinashTiwary RahulBose ParambrataChatterjee PaoliDam VeeraKapurEe"
Brothers,"['action', 'adventure', 'drama']",6.3/10,"After a troubled past with their alcoholic father, two estranged brothers prepare to face each other again as rivals in a street fighting tournament. action adventure drama AkshayKumar SidharthMalhotra JackieShroff JacquelineFernandez ShefaliShah KulbhushanKharbanda RajendranathZutshi AshutoshRana"
Bucket List,['drama'],5.9/10,"After getting a heart transplant, a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor. drama MadhuriDixit SumeetRaghvan RenukaShahane MilindPathak VandanaGupte PradeepVelankar ShubhaKhote ReshamTipnis"
Budapest,"['comedy', 'drama']",5.6/10,"Two best friends put their careers and marriages on the line when they launch a business hosting outrageous, anything-goes bachelor parties in Hungary. comedy drama ManuPayet JonathanCohen MonsieurPoulpe AliceBelaÃ¯di AlixPoisson"
Castlevania,"['horror', 'animation', 'thriller']",8.3/10,A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself. Inspired by the classic video games. horror animation thriller RichardArmitage JamesCallis GrahamMcTavish AlejandraReynoso TonyAmendola MattFrewer EmilySwallow
Chalte Chalte,"['romance', 'drama']",6.8/10,"Priya and Raj are polar opposites. Raj is brash and earthy, while Pirya is sophisticated and something of a perfectionist in all she does. They really are like oil and water, but nonetheless, they dare to fall in love. romance drama ShahRukhKhan RaniMukerji JasArora SatishShah RajivVerma LilleteDubey JayshreeT. JohnyLever"
Chaman Bahaar,"['comedy', 'drama']",7.1/10,"A local shop becomes a hub for young men taken with the new neighbor. But as business booms, it may leave the equally smitten storeowner heartbroken. comedy drama JitendraKumar RitikaBadiani YogendraTikku BhuvanArora AlamKhan DhirendraTiwari AshwaniKumar BhagwanTiwari"
Chamatkar,"['sci-fi', 'fantasy', 'comedy', 'drama']",6.5/10,"A village schoolteacher and the ghost of a murdered man, who were both betrayed by those closest to them, join forces to help each other. sci-fi fantasy comedy drama ShahRukhKhan NaseeruddinShah UrmilaMatondkar MalvikaTiwari ShammiKapoor DevenVerma TinnuAnand AnjanaMumtaz AnjanSrivastav RakeshBedi"
Chambers,"['horror', 'mystery', 'drama']",6.6/10,"Haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor's mysterious death. horror mystery drama SivanAlyraRose UmaThurman TonyGoldwyn MarcusLaVoi NicholasGalitzine KyannaSimoneSimpson GriffinPowell-Arcand LilliKay SarahMezzanotte LilliyaScarlettReid"
Chameli,['drama'],6.9/10,"While taking shelter from a Mumbai monsoon, an investment banker forms an unlikely connection with a naÃ¯ve prostitute over the course of the night. drama KareenaKapoor RahulBose RinkeKhanna YashpalSharma MakrandDeshpande KabirSadanand PankajJha"
Champions,['comedy'],6.0/10,"Years after getting his girlfriend pregnant, washed-up jock Vince meets his eccentric son Michael and learns about fatherhood, one show tune at a time. comedy AndersHolm FortuneFeimster AndyFavreau J.J.Totah MouzamMakkar YassirLester RobertCostanzo GingerGonzaga MindyKaling"
Chance Pe Dance,"['comedy', 'drama']",4.9/10,"Having risen from humble beginnings, an ambitious young man sets his sights on winning a major dance competition that could catapult him to fame. comedy drama ShahidKapoor GeneliaD'Souza MohnishBahl SatishShah ParikshatSahni VikasBhalla KurushDeboo ZainKhan"
Chashme Baddoor,"['musical', 'comedy', 'drama']",5.6/10,"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds. musical comedy drama RishiKapoor AliZafar TaapseePannu Siddharth DivyenduSharma AnupamKher BharatiAchrekar LilleteDubey AyazKhan"
Chhota Bheem and the Curse of Damyaan,['family'],5.8/10,An evil demon who traded his freedom for immortality lures Chhota Bheem and his friends to the city of Sonapur with tales of hidden treasure. family KaustavGhosh JignaBhardwaj Chutki RajeshKava Mausam GuruShambu ArunShekar JulieTejwani AnamayaVerma
Chhota Bheem Kungfu Dhamaka,['family'],5.3/10,Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperorâ€™s daughter from being kidnapped by the villain Zuhu! family SonalKaushal RupaBhimani JignaBharadhwaj SabinaMalik JulieTejwani RajeshKava VaibhavThakkar SamriddhiShuklaa AdityaRajSharma VinodKulkarni
Child's Play 2,['horror'],5.7/10,"A toy manufacturer unwittingly resurrects the soul of killer-doll Chucky, who immediately returns to his homicidal ways. horror AlexVincent JennyAgutter BradDourif GerritGraham ChristineElise GraceZabriskie PeterHaskell BethGrant GregGermann RaymondSinger"
Child's Play 3,"['horror', 'drama']",5.0/10,"The tortured spirit of Chucky rises again to seek revenge on the boy who killed him eight years ago, the now-teenage Andy Barclay. horror drama BradDourif JustinWhalin PerreyReeves JeremySylvers TravisFine DeanJacobson PeterHaskell DakinMatthews AndrewRobinson BurkeByrnes"
Chup Chup Ke,"['comedy', 'drama']",6.6/10,"Mistaking a broke, small-time hustler for a millionaire, two bumbling fishermen hatch a scheme to use him to help pay off their debts. comedy drama ShahidKapoor KareenaKapoor OmPuri NehaDhupia SunilShetty PareshRawal RajpalYadav ShaktiKapoor"
Children of Adam,"['thriller', 'drama']",7.7/10,"Amid crime and corruption, the lives of two couples intertwine as unexpected events soon reveal their dark secrets and tainted pasts. thriller drama MaguyBouGhosn DaniellaRahme MaximKhalil QaysSheikhNajib MohamedYaghy RodneyHaddad NadaAbouFarhat"
Children of the Sea,"['animation', 'drama']",6.6/10,"Ruka spends her summer at the aquarium, where sheâ€™s drawn into an enigmatic aquatic event alongside two mysterious boys raised in the ocean. animation drama ManaAshida HiiroIshibashi SeishuUragami WinMorisaki GoroInagaki YuAoi ToruWatanabe MinTanaka SumikoFuji"
Children of the Whales,"['animation', 'drama']",7.0/10,"As a magic wielder, young archivist Chakuro knows his time is short, but everything changes when a girl from the outside appears on his island. animation drama NatsukiHanae ManakaIwami YuuichirouUmehara NobunagaShimazaki MikakoKomatsu DaikiYamashita HiroshiKamiya"
Chillar Party,"['comedy', 'family', 'drama']",7.4/10,"Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal. comedy family drama IrfanKhan Raju SanathMenon RohanGrover NamanJain AaravKhanna VisheshTiwari ChinmaiChandranshuh VedantDesai ShriyaSharma DivjiHanda"
Chilling Adventures of Sabrina,"['sci-fi', 'horror', 'mystery', 'fantasy']",7.4/10,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night. sci-fi horror mystery fantasy KiernanShipka RossLynch MirandaOtto LucyDavis ChancePerdomo MichelleGomez RichardCoyle JazSinclair LachlanWatson TatiGabrielle AdelineRudolph AbigailCowen GavinLeatherwood BronsonPinchot"
Circle,"['sci-fi', 'fantasy', 'drama']",5.8/10,"When a group of strangers is seized and awaits execution, they face the impossible task of choosing the one person among them worthy of being spared. sci-fi fantasy drama JulieBenz MercyMalick CarterJenkins MollyJackson MichaelNardelli SaraSanderson KevinSheridan CesarGarcia LisaPelikan ZacharyJamesRukavina LawrenceKao JordiVilasuso KaiwiLyman-Mersereau MichaelMcLafferty AllegraMasters AutumnFederici JohnEdwardLee MattCorboy"
Class of '83,"['thriller', 'drama']",5.6/10,"Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld. thriller drama BobbyDeol BhupendraJadawat HiteshBhojraj AnupSoni JoySengupta SameerParanjape NinadMahajani PrithvikPratap"
Cobra Kai,"['action', 'adventure', 'drama']",8.7/10,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films. action adventure drama RalphMacchio WilliamZabka XoloMaridueÃ±a MartinKove MaryMouser TannerBuchanan CourtneyHenggeler JacobBertrand"
College Romance,"['comedy', 'romance', 'drama']",8.9/10,"Three best friends look for love, laughs and some lifelong memories while attending college together. comedy romance drama ManjotSingh ApoorvaArora KeshavSadhna ShreyaMehta HiraAshar GaganArora"
Creep,"['horror', 'thriller', 'drama']",6.1/10,"When a cash-strapped videographer takes a job in a remote mountain town, he finds that the client has some unsettling ideas in mind. horror thriller drama MarkDuplass PatrickBrice"
Creep 2,"['horror', 'thriller', 'drama']",6.4/10,"A video artist finds the perfect character for a sensational piece, but the subject of her dreams soon reveals his insidious side. horror thriller drama MarkDuplass DesireeAkhavan KaranSoni"
Criminal Minds,"['crime', 'mystery', 'drama']",8.0/10,This intense police procedural follows a group of extraordinary FBI profilers who spend their days getting into the minds of psychopathic criminals. crime mystery drama MandyPatinkin JoeMantegna ThomasGibson ShemarMoore MatthewGrayGubler KirstenVangsness A.J.Cook PagetBrewster LolaGlaudini JenniferLoveHewitt JeanneTripplehorn
Cursed,"['sci-fi', 'fantasy', 'adventure', 'drama', 'action']",5.7/10,"Armed with mysterious powers and a legendary sword, young rebel NimueÂ joins forces with charming mercenary Arthur on a mission to save her people. sci-fi fantasy adventure drama action KatherineLangford DevonTerrell GustafSkarsgÃ¥rd DanielSharman SebastianArmesto LilyNewmark ShalomBrune-Franklin MattStokoe BellaDayne PeterMullan EmilyCoates"
Dare Me,"['crime', 'thriller', 'drama']",6.8/10,"Relationships topple and loyalties flip when an icy new cheerleading coach takes over the high school squad ruled by Beth and her devoted BFF, Addy. crime thriller drama WillaFitzgerald HerizenGuardiola MarloKelly RobHeaps ZachRoerig PaulFitzgerald AlisonThornton TammyBlanchard AmandaBrugel ChrisZylka"
Dark,"['crime', 'drama']",8.9/10,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations. crime drama LouisHofmann OliverMasucci JÃ¶rdisTriebel MajaSchÃ¶ne KarolineEichhorn SebastianRudolph AnatoleTaubman MarkWaschke StephanKampwirth AnneRatte-Polle AndreasPietschmann LisaVicari MichaelMendl AngelaWinkler
Dangal,"['sports', 'drama']",8.4/10,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games. sports drama AamirKhan SakshiTanwar FatimaSanaShaikh SanyaMalhotra AparshaktiKhurana ZairaWasim SuhaniBhatnagar RitwikSahore
DC Super Hero Girls,['family'],6.9/10,"As Metropolis High students, super teens Wonder Woman, Supergirl, Bumblebee, Batgirl, Zatanna, and Green Lantern fight crime, classwork and crushes. family GreyGriffin TaraStrong NicoleSullivan KariWahlgren MyrnaVelasco KimberlyBrooks"
DC's Legends of Tomorrow,"['sci-fi', 'action', 'adventure', 'fantasy']",6.6/10,"A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil. sci-fi action adventure fantasy VictorGarber BrandonRouth CaityLotz FranzDrameh AmyPemberton DominicPurcell MaisieRichardson-Sellers NickZano ArthurDarvill WentworthMiller TalaAshe AdamTsekhman ChristinaBrucato SimonMerrells NilsHognestad JesMacallan KeiynanLonsdale"
Dark Forces,"['horror', 'drama']",2.8/10,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress. horror drama TenochHuerta ErÃ©ndiraIbarra DaleCarley ArianePellicer JohanaBlendl DaiLiparoti MauricioAspe NickZedd"
Dark Light,"['sci-fi', 'fantasy', 'horror', 'drama']",4.3/10,"Implicated in her daughter's disappearance, a mother searches for answers when she returns to an old family home that may have an unwanted visitor. sci-fi fantasy horror drama JessicaMadsen OpalLittleton EdBrody KristinaClifford BenSullivan GeraldTyler WestonMeredith"
Dark Matter,"['sci-fi', 'thriller', 'fantasy']",7.6/10,"After waking up aboard a derelict spaceship with no memories, the crew of the Raza investigates the mystery of their identities and destination. sci-fi thriller fantasy MarcBendavid MelissaO'Neil AnthonyLemke AlexMallariJr. JodelleFerland RogerCross ZoiePalmer"
Dear Zindagi,"['comedy', 'drama']",7.4/10,A young cinematographer with a bright professional future and a lack of empathy learns the importance of balancing ambition with humanity. comedy drama AliaBhatt ShahRukhKhan IraDubey YashaswiniDayama Gautmik RajBhansali RohitSaraf AtulKale KunalKapoor AngadBedi AliZafar AdityaRoyKapoor
Day of the Dead: Bloodline,"['horror', 'drama']",3.2/10,"A former medical student battles for survival against an evil human-zombie hybrid determined to destroy her, in this reimagining of the 1985 classic. horror drama JohnathonSchaech SophieSkelton MarcusVanco JeffGum LillianBlankenship UlyanaChan ShariWatson AtanasSrebrev"
DEATH NOTE,"['crime', 'animation', 'drama']",8.9/10,"When a Japanese high schooler comes into possession of a mystical notebook, he finds he has the power to kill anybody whose name he enters in it. crime animation drama KappeiYamaguchi AlessandroJuliani MamoruMiyano BradSwaile AiSatou SaffronHenderson AkenoWatanabe LisaAnnBeley AyaHirano ShannonChan-Kent HarukaKudo KellyMetzger HideoIshikawa BrianDobson HirokiTakahashi SamVincent ShidoNakamura BrianDrummond NaoyaUchida ChrisBritton"
Deewana Main Deewana,"['comedy', 'drama']",2.3/10,A man's instant attraction to a woman becomes an obsession as he adopts a friend's identity and even commits murder in order to get closer to her. comedy drama Govinda PriyankaChopra KaderKhan PremChopra ShaktiKapoor SharatSaxena HimaniShivpuri JohnnyLever
Delhi 6,['drama'],5.9/10,"In the ancient walled city of Delhi, an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots. drama AbhishekBachchan SonamKapoor WaheedaRehman OmPuri PremChopra AtulKulkarni PavanMalhotra DivyaDutta DeepakDobriyal SheebaChaddha"
Delhi Belly,"['comedy', 'action', 'adventure', 'drama']",7.7/10,"Three flatmates get involved in the shady business belonging to one roomie's fiancÃ©, and discover that a global crime syndicate is gunning for them. comedy action adventure drama ImranKhan VirDas KunaalRoyKapur PoornaJagannathan ShenazTreasury VijayRaaz PareshGanatra RahulSingh"
Delhi Crime,"['crime', 'drama']",8.6/10,"As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case. crime drama ShefaliShah RajeshTailang RasikaDugal AdilHussain VinodSharawat MridulSharma GopalDuttTiwari AnuragArora GauravRana YashaswiniDayama"
Demon Slayer: Kimetsu no Yaiba,"['animation', 'drama']",8.6/10,"After a demon attack leaves his family slain and his sister cursed, Tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost. animation drama NatsukiHanae AkariKito HiroShimono YoshitsuguMatsuoka TakahiroSakurai HochuOtsuka YukiKaji AiKakuma NobuhikoOkamoto ToshiyukiMorikawa AoiYuki ShioriIzawa DaisukeNamikawa TakumiYamazaki HikaruMidorikawa TakehitoKoyasu"
Demonic,"['horror', 'drama']",5.1/10,"When amateur ghost hunters visit an abandoned house, their investigation turns into a massacre, leaving questions for a detective and a psychologist. horror drama MariaBello FrankGrillo CodyHorn DustinMilligan MeganPark ScottMechlowicz AaronYoo AlexGoode TerenceRosemore JesseSteccato"
Dennis the Menace,"['comedy', 'family']",5.5/10,"The bane of George's life is a little boy named Dennis. But when a cunning thief attempts to rob George, Dennis may be the only one who can stop him. comedy family WalterMatthau MasonGamble JoanPlowright ChristopherLloyd LeaThompson RobertStanton PaulWinfield"
Dharam Sankat Mein,"['comedy', 'drama']",6.5/10,"After learning he was adopted from a Muslim couple, a Hindu man seeks his birth father but finds he must confront his bigotry to realize his quest. comedy drama PareshRawal AnnuKapoor AlkaBadolaKaushal AuritraGhosh NaseeruddinShah ManojRaghubirSharma RushitaPandya MurliSharma"
Dhoondte Reh Jaoge,"['musical', 'comedy', 'drama']",5.4/10,"An accountant and a producer hatch a scheme to finance a movie, while making every effort to ensure that it flops so they may pocket the difference. musical comedy drama PareshRawal KunalKhemu SonuSood SohaAliKhan JohnnyLever DilipJoshi Asrani MalayChakrabarty RazakKhan HrishitaaBhatt"
Dil,"['comedy', 'drama']",6.8/10,A miserâ€™s scheme to set his son up with a millionaireâ€™s daughter backfires when the two actually fall in love â€” just as his sly charade is revealed. comedy drama AamirKhan MadhuriDixit SaeedJaffrey DevenVerma AnupamKher Shammi PadmaRani RajeshPuri SatyendraKapoor
Dil Chahta Hai,"['comedy', 'drama']",8.0/10,"Inseparable childhood friends Akash, Sameer and Siddharth are just out of college. Nothing comes between them â€“ until they each fall in love. comedy drama AamirKhan SaifAliKhan AkshayeKhanna PreityZinta SonaliKulkarni DimpleKapadia AyubKhan RajatKapoor SuhasiniMulay AhmedKhan"
Dil Dhadakne Do,"['comedy', 'drama']",6.7/10,"While hosting a shipboard holiday for relatives and friends, a wealthy but dysfunctional family must face the ugly truths under their flawless facade. comedy drama AnilKapoor PriyankaChopra RanveerSingh AnushkaSharma FarhanAkhtar ShefaliShah RahulBose ParmeetSethi VikrantMassey ZarinaWahab AamirKhan"
Dil Se,"['romance', 'drama']",7.5/10,A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires. romance drama ShahRukhKhan ManishaKoirala PreityZinta RaghuvirYadav ZohraSehgal SabyasachiChakraborty PiyushMishra Krishnakant AdityaSrivastava
Dil Vil Pyaar Vyaar,"['musical', 'romance', 'drama']",6.3/10,"Agam Singh's brothers mean everything to him, so while he promises not to marry, he tries to get them to marry â€“ but they want him to marry first. musical romance drama GurdasMaan NeeruBajwa JassiGill RajivThakur KhushdeedMaan ManavVij RajJhinger ShrutiSodhi MeherVij"
Dilwale,"['action', 'adventure', 'drama']",5.0/10,"A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance. action adventure drama ShahRukhKhan Kajol KritiSanon KabirBedi VarunDhawan BomanIrani JohnnyLever VarunSharma SanjayMishra VinodKhanna MukeshTiwari PankajTripathi ShawarAli"
Don,"['action', 'adventure', 'drama']",7.3/10,"A ruthless crime boss and drug lord is nabbed and held captive by the authorities, who send his naÃ¯ve look-alike to infiltrate the man's gang. action adventure drama ShahRukhKhan PriyankaChopra ArjunRampal IshaKoppikar KareenaKapoor BomanIrani OmPuri PavanMalhotra"
Don 2,"['musical', 'action', 'adventure', 'drama']",7.2/10,"With Asia under his complete control, criminal mastermind Don turns to Europe, battling the mob bosses of each nation along the way. musical action adventure drama ShahRukhKhan PriyankaChopra BomanIrani LaraDutta KunalKapoor OmPuri AlyyKhan NawabShah"
Dostana,"['comedy', 'drama']",6.4/10,"To win over a landlady who only accepts women as tenants, two men pose as a couple â€“ but the jig may be up when they both fall for their flatmate. comedy drama AbhishekBachchan JohnAbraham PriyankaChopra BobbyDeol KironKher SushmitaMukherjee ShreyBawa BomanIrani"
DOTA: Dragon's Blood,['animation'],8.1/10,A conflicted yet courageous Dragon Knight must use the power of the dragon within to stop a deadly demon in this epic fantasy based on the online game. animation YuriLowenthal LaraPulver KariWahlgren AlixWiltonRegan TroyBaker FreyaTingley TonyTodd
Drishyam,"['thriller', 'drama']",8.3/10,An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing. thriller drama AjayDevgn ShriyaSaran Tabu RajatKapoor IshitaDutta MrunalJadhav PrasannaKetkar YogeshSonam PrathameshParab RishabhChaddha
Dragons: Dawn of the Dragon Racers,"['comedy', 'family']",7.1/10,"The ""How to Train Your Dragon"" adventure continues when a hunt for lost sheep turns into a fierce, fun-filled competition. comedy family JayBaruchel AmericaFerrera ZackPearlman ChristopherMintz-Plasse T.J.Miller AndreeVermeulen"
Drive,"['action', 'adventure', 'drama']",3.7/10,"A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets. action adventure drama JacquelineFernandez SushantSinghRajput BomanIrani PankajTripathi VikramjeetVirk SapnaPabbi VibhaChhibber KaustubhKumar"
DreamWorks Happy Holidays from Madagascar,"['comedy', 'family']",6.8/10,Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters. comedy family TomMcGrath ChrisMiller ChristopherKnights JohnDiMaggio BenStiller ChrisRock DavidSchwimmer JadaPinkettSmith CedrictheEntertainer AndyRichter CarlReiner
Ek Ladki Ko Dekha Toh Aisa Laga,"['comedy', 'drama']",5.6/10,"As her family seeks to marry her off and a hopeful writer pursues her, a small-town woman struggles to reveal the long-hidden truth about who she loves. comedy drama AnilKapoor SonamKapoor RajkummarRao JuhiChawla AbhishekDuhan ReginaCassandra MadhumaltiKapoor SeemaPahwa BrijendraKala AlkaBadolaKaushal"
Ek Main Aur Ekk Tu,"['comedy', 'romance', 'drama']",5.9/10,Bollywood stars Imran Khan and Kareena Kapoor pair up to play exceptionally dissimilar lovers in this lighthearted romantic comedy. comedy romance drama KareenaKapoor ImranKhan BomanIrani RamKapoor RatnaPathakShah ZenobiaShroff SoniyaMehra AkshatVerma DanaLewis RajeshKhattar
El Camino Christmas,"['comedy', 'drama']",5.5/10,"Stuck in a liquor store during an alleged robbery, a group of strangers shares hidden truths and forms an unexpected bond on Christmas Eve. comedy drama JessicaAlba TimAllen DaxShepard VincentD'Onofrio LukeGrimes KurtwoodSmith MichelleMylett"
El Camino: A Breaking Bad Movie,"['thriller', 'drama']",7.2/10,"Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creator Vince Gilligan, starring Aaron Paul. thriller drama AaronPaul"
El Cartel,"['crime', 'drama']",8.1/10,One man makes a fateful decision to get involved with a Colombian drug cartel in this series based on a novel by AndrÃ©s LÃ³pez LÃ³pez. crime drama ManoloCardona KarenMartÃ­nez RobinsonDÃ­az DiegoCadavid FernandoSolÃ³rzano JulianArango SandraReyes JuanPabloRaba FernandoArÃ©valo
El Cartel 2,"['crime', 'drama']",7.0/10,Drug trafficker Pepe Cadena navigates the treacherous waters of warring cartels in Mexico and Colombia while avoiding capture by the DEA and police. crime drama DiegoCadavid RobinsonDÃ­az PatriciaManterola CarolinaGuerra JohnÃlexToro LuisEduardoArango AlejandroMartÃ­nez JuanSebastiÃ¡nAragÃ³n VÃ­ctorMallarino SantiagoMoure CarlosEchavarrÃ­a JohnGertz
El Chapo,"['crime', 'action', 'adventure', 'drama']",7.7/10,"This drama series chronicles the true story of the rise, capture and escape of notorious Mexican drug lord JoaquÃ­n ""El Chapo"" GuzmÃ¡n. crime action adventure drama MarcodelaO HumbertoBusto AlejandroAguilar RodrigoAbed LuisFernandoPeÃ±a JuanCarlosOlivas RolfPetersen CarlosHernanRomo HÃ©ctorHolten DiegoVÃ¡squez TetÃ©Espinoza LuisRÃ¡bago DoloresHeredia CristinaMichaus ValentinaAcosta JuliettePardau AbrilSchreiber"
El Chema,"['crime', 'action', 'adventure', 'drama']",6.6/10,Follow one man's epic journey as he transforms from wily underage drug smuggler to one of the world's most infamous cartel leaders. crime action adventure drama MauricioOchmann MarianaSeoane JulioBracho SergioBasaÃ±ez ItatÃ­Cantoral JorgeLuisVÃ¡zquez
El club de los buenos infieles,"['comedy', 'drama']",5.4/10,Four childhood buddies in passionless marriages try a counterintuitive idea: a secret club for men who want to cheat â€“ to regain lust for their wives. comedy drama RaÃºlFernÃ¡ndez FeleMartÃ­nez JuanmaCifuentes HovikKeuchkerian AlbertRibalta JordiVilches AdriÃ¡nLastra RaquelSalvador MartaBrucart BetsyTurnez
El club de los insomnes,['drama'],6.4/10,"An insomniac, an aspiring photographer and a pregnant veterinarian form a unique friendship during late-night meetings at a 24-hour mini-mart. drama CassandraCiangherotti LeonardoOrtizgris AlejandraAmbrosi AlexandraDeLaMora MÃ³nicaDionne SergioGoyri FernandoBecerril HumbertoBusto MarcoMÃ©ndez AlejandraUrdiaÃ­n KhristianClausen FernandoLujÃ¡n"
Emily in Paris,"['comedy', 'romance', 'drama']",6.9/10,"After landing her dream job in Paris, Chicago marketing exec Emily Cooper embraces her adventurous new life while juggling work, friends and romance. comedy romance drama LilyCollins PhilippineLeroy-Beaulieu AshleyPark LucasBravo KateWalsh SamuelArnold BrunoGouery CamilleRazat"
Enola Holmes,"['action', 'adventure', 'family', 'drama']",6.5/10,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord. action adventure family drama MillieBobbyBrown HenryCavill SamClaflin HelenaBonhamCarter LouisPartridge BurnGorman AdeelAkhtar SusanWokoma FrancesdelaTour FionaShaw"
Engineering Girls,"['comedy', 'drama']",6.9/10,"Three engineering students deal with dorm drama, date around, and do whatever it takes to make their dreams come true. comedy drama BarkhaSingh KritikaAvasthi SejalKumar"
